Reporting period end,Subject,Category,Data Item,Class of business group,Class of business category,Class of business,Reporting year basis,Accident/underwriting year,Development year,Value,Notes
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2017,3,5175000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2016,4,4108000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2015,5,5046000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2014,6,2974000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2013,7,3230000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2012,8,2978000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2011,9,4608000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2010,10,3264000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2020,0,#N/A,Data have been masked to maintain confidentiality.
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2019,1,74000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2018,2,#N/A,Data have been masked to maintain confidentiality.
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2017,3,90000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2016,4,61000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2015,5,78000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2014,6,79000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2013,7,67000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2012,8,53000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2011,9,82000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2010,10,127000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2020,0,65000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2019,1,56000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2018,2,57000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2017,3,71000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2016,4,79000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2015,5,75000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2014,6,71000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2013,7,67000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2012,8,63000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2011,9,63000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2010,10,64000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2020,0,340000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2019,1,309000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2018,2,295000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2017,3,390000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2016,4,326000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2015,5,291000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2014,6,256000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2013,7,350000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2012,8,275000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2011,9,307000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2010,10,280000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2020,0,717000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2019,1,612000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2018,2,617000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2017,3,530000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2016,4,497000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2015,5,433000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2014,6,381000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2013,7,428000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2012,8,377000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2011,9,278000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2010,10,238000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2020,0,594000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2019,1,590000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2018,2,456000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2017,3,656000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2016,4,718000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2015,5,494000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2014,6,434000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2013,7,464000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2012,8,443000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2011,9,501000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2010,10,395000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Travel,Accident year,2020,0,438000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Travel,Accident year,2019,1,569000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Travel,Accident year,2018,2,460000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Travel,Accident year,2017,3,391000000,
